id,text,sentiment
71,"С точки зрения внешней политики, интерес России в участии в «большой восьмерке» неоспорим. ",positive
72,"Но с точки зрения внутренней политики – что дает «восьмерка» России?",neutral
73,"Глобальное партнерство – это миф или реальность? ",neutral
74,"Будет когда-нибудь практическая отдача?",neutral
75,"Некоторая часть экспертов считает, что идея «восьмерки» изжила себя: принимаются необязательные решения. ",neutral
76,"Как Вы к этому относитесь?",neutral
77,"Как Вы относитесь к предложениям некоторых Ваших коллег пригласить к работе в «восьмерке», в частности Китай, Индию? ",neutral
78,"Это реально?",neutral
79,"У Вас не было официальной встречи с временным президентом Ирака. Но удалось ли Вам с ним встретиться, поговорить?",positive
80,"Что касается Ирана, то за последний год наблюдалось сближение российско-американской позиции, все больше настороженность по поводу того, что происходит в Иране. ",negative
81,"Тем не менее Россия не отказывается пока от строительства электростанции в Бушере. ",neutral
82,"В каком формате поднимался этот вопрос на встрече с Джорджем Бушем? ",neutral
83,"И есть ли условия, при которых Россия может отказаться от работы в Бушере? ",neutral
84,"Япония готовится к следующему юбилейному году – году юбилея Симодского договора, который установил дипломатические отношения между нашими странами и впервые определил границы. Ваш визит в Японию совпадает с этим юбилеем.",positive
85,"Это случайное совпадение или нет? ",neutral
86,"И как это совпадение повлияет на содержание Вашего визита?",positive
87,"Не могли бы Вы рассказать немного о неформальной атмосфере ",neutral
88,"– не о той, когда Вы встречались за круглым столом. ",neutral
89,"Мы видели, Вы гуляли по острову с Шредером и Шираком. ",positive
90,"Не было ли там больше взаимопонимания между одними и меньше – между другими?",positive
91,"Я беседовал с представителями американской администрации, которые мне сказали, что господин Буш поднял вопрос свободной прессы в России. ",neutral
92,"Каков был Ваш ответ?",neutral
93,"Хочу вернуть Вас к экономике и политике. Америка предлагает списать долги Ирака.",positive
94,"Ирак нам должен значительную сумму. ",positive
95,"Может быть, здесь что-то можно сделать в одностороннем порядке, без участия членов «восьмерки»?",neutral
96,"Как Ваши коллеги по «восьмерке» оценивают продвижение России к вступлению в ВТО? ",positive
97,"Вы обсуждали эту тему?",neutral
98,"В одном из документов саммита есть специальный пункт, в котором говорится, что «восьмерка» приветствует прогресс, достигнутый Россией перед вступлением в ВТО, и он отражает тот консенсус, который сложился в организации.",negative
99,"Через два года Россия станет председателем «восьмерки». Но работа начинается уже сейчас. ",positive
100,"Есть какие-то планы, где будете принимать своих друзей? ",positive
101,"Россия будет выдвигать в связи с этим событием какие-то новые идеи?",positive
102,"В связи с появившимися во время работы саммита разными публикациями в американской прессе о том, что Россия якобы не достойна быть членом «восьмерки», ",negative
103,"можно ли сейчас считать Россию прочно утвердившимся членом «восьмерки»?",neutral
104,"Американский Президент на одной из двусторонних встреч сказал, что было бы очень неплохо, если бы парни из НАТО взялись за помощь иракскому народу. ",positive
105,"В принципе эта идея противоречит идее, что помогать должны парни из ООН. ",neutral
106,"Эта новость сразу стала первополосной, с нее начинались телевизионные выпуски. ",positive
107,"Что Вы думаете по этому поводу?",neutral
108,"Вас пригласили на похороны Рональда Рейгана и на 80-летие Буша-отца? ",positive
109,"И было ли выпито за помин души первого и за здоровье другого?",positive
110,"Устали? Искупаться удалось?",neutral
111,"Что вообще запомнилось – Вы проделали огромный путь, такой марафон: 24 тысячи километров – Нормандия, Мексика?",positive
112,"Вы проделали огромный путь, такой марафон: 24 тысячи километров – Нормандия, Мексика?",positive
113,"Гастрономически что больше всего запомнилось?",neutral
114,"Вы пригласили всех своих коллег на 60-летие Победы?",neutral
115,"По Вашим ответам заметно, что Ваша философия – это все же достижение единства, а не игра на противоречиях. Правильно?",negative
116,"Вопрос о терроризме. Вы вчера сказали, что с терроризмом нужно бороться совместно и беспощадно. ",neutral
117,"В нашем обществе – и среди политиков, и в массах – все-таки существуют антиамериканские и антизападные настроения. ",positive
118,"Влияют ли они на усилия по борьбе с терроризмом, ",positive
119,"ослабляют ли их?",neutral
120,"Когда стало известно о взрывах в Лондоне, возникла ли реальная опасность, что саммит будет сорван? ",neutral
121,"Сейчас мы видим, что этого не произошло. ",neutral
122,"По Вашему мнению, не был ли он скомкан, ",negative
123,"удалось ли в полной мере раскрыть все те вопросы, которые планировалось?",positive
124,"Какой вопрос был наиболее острым и дискутируемым в ходе ваших рабочих заседаний? ",neutral
125,"Конечно, работа была не только в комнатах, за общим столом. Вы, наверное, общались со многими лидерами и в кулуарах. ",neutral
126,"О чем шла речь в ходе этих бесед? ",positive
127,"Какая была атмосфера? Как Вы ее можете оценить?",neutral
128,"Добрый день. Я о наболевшем хочу сказать…",positive
129,"Да. Наболело очень сильно. Как Вы относитесь к тому, что саммит «восьмерки» абсолютно закрыт с точки зрения информации? ",neutral
130,"Мы в шоке: работаем в нескольких минутах ходьбы от отеля, и все эти три дня ничего не видим из того, что происходит. ",negative
131,"Это нормально? Спасибо.",neutral
132,"Вчерашний чудовищный теракт в Лондоне заставил многих людей задуматься о дополнительных мерах по борьбе с терроризмом. ",positive
133,"Может ли эта борьба с терроризмом ожесточить цивилизованный мир? ",neutral
134,"И, в свою очередь, может ли это привести к тому, что будут поставлены под сомнение сами основы демократии, внутренней демократии?",neutral
135,"Вы объявили, что следующая «восьмерка» пройдет в Санкт-Петербурге. ",neutral
136,"Почему именно Санкт-Петербург? ",positive
137,"Как отнеслись к этому Ваши коллеги, ",neutral
138,"какие основные темы будут на этом саммите?",positive
139,"Обсуждалось ли на нынешнем саммите расширение формата «восьмерки»?",positive
140,"На сколько процентов Россия может увеличить поставки нефти странам «восьмерки» ",neutral
141,"и за какой период времени?",neutral
142,"Как известно, «большая восьмерка» – это в основном продукт личной дипломатии. ",neutral
143,"Расскажите, пожалуйста, о личных отношениях внутри «восьмерки». ",positive
144,"Например, окончательно ли закончился, по Вашему мнению, период некоторого охлаждения отношений со времен Ирака? ",neutral
145,"Существуют ли, например, в «восьмерке» какие-то внутренние особо теплые союзы? ",positive
146,"Как личные отношения могут влиять на межгосударственные отношения в целом?",neutral
147,"Два года назад Вы поставили цель удвоить ВВП в течение десяти лет. ",neutral
148,"Учитывая серьезные разногласия в Правительстве по этому поводу и учитывая также замедление темпов роста, считаете ли Вы сейчас эту цель реальной?",neutral
149,"Несмотря на то что у Вас не было отдельной двусторонней встречи с Президентом США, Вы наверняка успели пообщаться. ",positive
150,"Не могли бы Вы рассказать о темах, которые сочли нужным затронуть в первую очередь?",positive
151,"Не секрет, что Россия не самая богатая страна в мире. ",neutral
152,"Выигрываем ли мы что-нибудь от помощи африканским странам?",positive
153,"Почему Вы решили определить дату встречи с Дзюнъитиро Коидзуми, несмотря на то что существуют разногласия по территориальному вопросу? ",positive
154,"Какие у Вас ожидания от этого визита? ",neutral
155,"Что, по-вашему, нужно сделать, чтобы заключить мирный договор?",neutral
156,"Многие политики нелестно отзываются о деятельности кабинета Михаила Фрадкова. ",positive
157,"Вас устраивает работа Правительства? ",neutral
158,"Как Вы относитесь к тому, что возникают личные конфликты между премьером и его подчиненными?",positive
159,"Накануне в Казахстане члены ШОС договорились о том, чтобы попросить членов антитеррористической коалиции подумать о сроках вывода своих баз с территории Средней Азии. ",neutral
160,"Обсуждалась ли эта проблема здесь? ",neutral
161,"Прощупывали ли Вы настроения своих коллег по коалиции и в какие сроки Вы хотели бы вывода баз с этой территории?",neutral
162,"В документах, подписанных в Астане, значится, что страны ШОС будут вырабатывать новые механизмы реагирования на чрезвычайные ситуации. ",positive
163,"О чем идет речь: ",neutral
164,"о каких-то информационных обоймах или же в будущем могут проводиться совместные военные операции?",neutral
165,"В прессе прошли сообщения о заинтересованности «Газпрома» в покупке «Сибнефти», а уже в Астане «Роснефть» заявила о заинтересованности в активах «Сибнефти», так как это крупнейший актив. ",neutral
166,"Существует ли по этому вопросу позиция государства?",positive
167,"Владимир Владимирович… Очень волнительно. Извините, пожалуйста, за такую заминку.",neutral
168,"Решения, которые принимаются «большой восьмеркой», затронут всех… И обязательно молодежь, поколение «юношеской восьмерки». ",positive
169,"Скажите, чего нам ждать?",neutral
170,"Владимир Владимирович, какие «горячие» вопросы Вы будете обсуждать с Председателем Ху Цзиньтао?",positive
171,"И второе: от многих-многих китайцев Вам привет, Вы наш настоящий герой. Спасибо.",neutral
172,"Владимир Владимирович, у меня такой вопрос: последние события, в том числе и в Ливане, и вообще, если взять прошедший год, два последних года, показывают, что мир накопил значительный конфликтный потенциал. Ежедневно в конфликтах гибнут сотни людей. Мы все это видим по телевизору, и всем все понятно. ",positive
173,"Причем старые конфликты, они как бы затухают, но проблема не решается, появляются новые. И складывается впечатление, что существующая система решения и предупреждения конфликтов не работает. Я имею в виду в глобальном плане, в мировом. ",neutral
174,"И, более того, получается, что и система организации международных отношений зашаталась. ",positive
175,"И молодежи, я думаю, если смотреть не MTV, скоро будет опасно выходить на улицу. Спасибо.",neutral
176,"Господин Президент, когда мы приехали сюда, многие представители африканской диаспоры думали, что это самое худшее время, никто не будет слушать Африку. ",neutral
177,"Но на нас произвело большое впечатление, когда вы больше двух часов провели с нами, с представителями «гражданской восьмерки». ",positive
178,"Когда я со своими коллегами говорил, то я сказал: не отчаивайтесь, господин Путин, президент Путин говорил об Африке. ",neutral
179,"Сейчас Вы говорите, что работа будет продолжаться. И мы изложили вам свою позицию. Спасибо Вам за это.",positive
180,"Господин Президент, что Вы считаете главным достижением этого саммита? ",neutral
181,"И что, Вы считаете, этот саммит сделал для имиджа России за границей?",neutral
182,"Господин Президент! В первую очередь разрешите от всего журналистского корпуса поблагодарить Вас за то, что Вы нас обеспечили вот этими штормовками и ветровками, потому что саммит распался на две части – солнечную и дождливую. ",positive
183,"Поскольку я американист, я хочу Вам задать такой вопрос.",positive
184," Если взять за сто Ваши личные отношения с президентом Бушем, которые, мы еще раз убедились на этом саммите, находятся на очень высоком уровне, как Вы расцениваете в рейтинговом плане российско-американские отношения? ",neutral
185,"И если есть «ножницы», чем объясняются они  ",neutral
186,"и как Вы боретесь за то, чтобы их ликвидировать?",positive
187,"В рамках двусторонних отношений Россия–Германия как Вы оцениваете перспективы создания телевизионного канала «Россия–Германия», о котором говорили еще на Санкт-Петербургском диалоге в 2003 году? Спасибо.",positive
188,"Владимир Владимирович, первый вопрос по Северной Корее. Если можно поподробнее о соглашениях, к которым Вы пришли по Северной Корее. ",neutral
189,"По Ирану Россия в принципе согласна применять политические и экономические санкции в случае невыполнения резолюции. ",neutral
190,"Возможно ли это и в отношении Северной Кореи? ",neutral
191,"И второй вопрос. По поводу Энергетической хартии. Вчера говорили, что на основные принципы Энергетической хартии Россия согласна. Что останавливает подписание?",negative
192,"По информации из некоторых западных источников, за похищением израильских солдат может стоять не только «Хезболлах», но и целые страны. Например, Сирия. ",negative
193,"Как Вы считаете, освобождение израильских солдат может остановить этот конфликт или ситуация уже вышла из-под контроля?",neutral
194,"Вопрос очень насущный на самом деле, честное слово. Скажите, пожалуйста, вчера, по-моему, Кофи Аннан говорил о том, что международные силы будут стабилизацией около Ливана. Тони Блэр конкретнее сказал, что без войск вообще не остановить конфликты и нельзя их разъединить. ",neutral
195,"Скажите, пожалуйста, будет ли рассматривать Россия вопрос об участии, если Совет Безопасности примет это? И сила стабилизации. ",neutral
196,"Речь идет только о Ливане или тогда и о Палестине тоже, о палестино-израильской границе тоже?",neutral
197,"Добрый день! Я из Испании. Два вопроса для уточнения. Вы говорили об обсуждении вчера ближневосточной тематики в рамках напряженной дискуссии. ",positive
198,"Не могли бы Вы сказать, в чем была напряженность этой сессии, этого заседания? ",positive
199,"И второе: чего Вы ожидаете, каких последствий Вы ожидаете от программы глобальной энергобезопасности рынков нефти?",neutral
200,"Владимир Владимирович, в развитие темы контингента международных сил в Ливане. Ваша позиция все равно весьма важная, Россия является все-таки членом Совета Безопасности ООН. ",neutral
201,"Во-первых, я хотел бы спросить, какие были разговоры по поводу того, как должен выглядеть этот контингент, какого размера, где должен находиться, с какими функциями – военными функциями или чисто наблюдательными функциями? ",neutral
202,"И какие были разговоры среди лидеров «восьмерки» сегодня?",positive
203,"И какова позиция России, какое видение России как члена Совета Безопасности? Спасибо.",neutral
204,"Владимир Владимирович, вы говорили о том, чего удалось добиться в ходе саммита. Интересно было бы узнать, есть ли вопросы, по которым, на Ваш взгляд, прогресс оказался не таким заметным, как ожидалось?",neutral
205,"И еще, если говорить о результатах работы: как мне показалось, в итоговых документах не так много упоминаний о ситуации в Ираке, несмотря на то что обстановка там также далека от нормальной. ",negative
206,"Как Вы это прокомментируете?",neutral
207,"Вопрос касается, скорее, атмосферы вокруг саммита, вокруг России. ",neutral
208,"Насколько известно, когда Джордж Буш прилетел, он встречался с представителями неправительственных организаций. ",neutral
209,"Ранее два помощника госсекретаря США участвовали в работе оппозиционного форума «Другая Россия». ",positive
210,"Как Вы относитесь к таким фактам?",neutral
211,"Будьте любезны, вопрос такой. Характер русского человека такой, что мы ничего не делаем вполсилы. Как правило, в любое дело мы вкладываем всю душу.",negative
212,"Но когда мы что-то делаем не в службу, а в дружбу, то силы удесятеряются, и эффект совершенно фантастический. ",negative
213,"Будьте добры, как продвинулись Ваши личные взаимоотношения с коллегами? Потому что понятно, что это будет очень сильно влиять на политику. Спасибо.",neutral
214,"Владимир Владимирович, Вы вкратце уже рассказали о Вашей инициативе о создании совместного российско-американского радара в Габале. ",neutral
215,"Не могли бы Вы пояснить, где должны быть расположены ракеты-перехватчики по Вашему плану?",neutral
216,"И не приведет ли Ваш план к ухудшению отношений России с Ираном?",neutral
217,"Хотелось бы уточнить. Вот Вы сказали по поводу размещения ракет – в южной части Европы или на платформах. ",neutral
218,"Где было бы предпочтительнее их разместить? ",neutral
219,"Если в Европе, то безопасность Европы от этого не будет страдать?",neutral
220,"Господин Президент, как Вы можете верить иранскому режиму, когда они говорят, что у них нет никаких планов создать систему с потенциалом в четыре тысячи километров?",neutral
221,"Владимир Владимирович, Ваши западные партнеры все-таки настаивают на независимости для Косова, несмотря на то, сколько этого нужно ждать – полгода, год, или, может быть, дольше. ",positive
222,"Россия может при каких-то условиях с этим согласиться?",positive
223,"Владимир Владимирович, Вы встречались с новым Президентом Франции Николя Саркози. ",positive
224,"Вы могли бы рассказать о своих впечатлениях от этой встречи, о ее результатах, ",negative
225,"и вообще, на Ваш взгляд, насколько опытным политиком является новый Президент Франции?",positive
226,"Уважаемый Дмитрий Анатольевич! Добро пожаловать в Японию. У нас было хорошее впечатление и отклики о Вашем участии в саммите. ",positive
227,"Каково Ваше мнение о нём? ",positive
228,"Насколько близки и расходятся позиции России и Японии по основным проблемам, обсуждающимся во время саммита, в том числе во время двусторонних переговоров с Японией? Спасибо.",neutral
229,"Я хочу вернуться к теме, которую Вы немного затронули – к вопросу энергетики. До приезда на Хоккайдо Вы посетили три страны, и одной из центральных тем переговоров там была энергетика.",neutral
230,"Как эта тема поднималась на саммите, ",neutral
231,"к каким выводам и прогнозам вы пришли на саммите на Хоккайдо? Спасибо.",neutral
232,"Лидеры «Группы восьми» в документе по глобальной продовольственной безопасности отметили необходимость снижения экспортных ограничений. ",neutral
233,"По Вашему мнению, в каких странах к этому вопросу наиболее протекционистский подход? ",neutral
234,"И что США и ЕС должны сделать в вопросе поддержки сельского хозяйства?",neutral
235,"Известно, что США подписали с Чехией договор о размещении систем противоракетной обороны. ",positive
236,"Скажите, каковы будут дальнейшие шаги России в отношениях с США по этому вопросу ",neutral
237,"и обсуждали ли Вы эту тему с коллегами по «восьмёрке»? ",neutral
238,"И если да, то какова была их реакция? Спасибо.",neutral
239,"Дмитрий Анатольевич, у Вас за последнее время был очень насыщенный график. В Японии Вы провели более десятка двусторонних встреч. ",positive
240,"Не могли бы Вы выделить какие-то из них?",positive
241,"Дмитрий Анатольевич, накануне саммита можно было не раз услышать мнение о том, что такие встречи «большой восьмёрки» превратились в ритуальные мероприятия и совершенно нерезультативны. ",negative
242,"Учитывая, что Вы в первый раз участвуете в качестве Президента в саммите, насколько Ваш свежий взгляд это подтверждает или, наоборот, опровергает? ",positive
243,"И вообще насколько можно говорить, что лидеры «большой восьмёрки» сейчас готовы признать свою ответственность за те глобальные вызовы, которые существуют? Спасибо. ",positive
244,"Дмитрий Анатольевич. До приезда в Италию Вы в Москве проводили переговоры с Президентом США Бараком Обамой, и, по Вашим словам, у вас сложился достаточно хороший контакт с Бараком Обамой. ",neutral
245,"Здесь, в Италии, удалось закрепить эти хорошие отношения ",neutral
246,"и как на ход дискуссии здесь, в Аквиле, повлияли, если они каким-то образом повлияли, Ваши переговоры с Президентом США?",neutral
247,"Если позволите, ещё одно маленькое добавление. Как Вы относитесь к предложению Италии провести ещё один саммит здесь, в Аквиле?",negative
248,"Дмитрий Анатольевич, скажите, пожалуйста, как итоговые решения деклараций саммита могут отразиться на внутренней политике России, в том числе экономической?",neutral
249,"Сейчас всё чаще звучат предложения о необходимости преобразовать «восьмёрку» в более широкий формат – формат «тринадцати» или «четырнадцати». ",neutral
250,"Каково Ваше видение этого вопроса?",positive
251,"И какие проблемы, на Ваш взгляд, «восьмёрка» могла бы решать наиболее эффективно, а какие стоит передать в более широкий формат? ",neutral
252,"И останется ли после завершения мирового кризиса актуальным формат «двадцатки»?",neutral
253,"Хотелось бы узнать то, что касается ВТО: Россия будет вступать как самостоятельный член, насколько это возможно, ",neutral
254,"или в рамках Таможенного союза?",neutral
255,"И второй вопрос. Обсуждалась ли ещё раз тема новых резервных валют ",neutral
256,"и как Россия участвовала в этом обсуждении?",neutral
257,"Хочу спросить о двусторонней встрече с японским премьером. ",neutral
258,"Обсуждали ли Вы безвизовые обмены с японской стороной? ",neutral
259,"Считаете ли Вы, что японская сторона политизирует ситуацию по поводу обмена?",neutral
260,"Дмитрий Анатольевич, правда ли, что Россия ведёт переговоры с Киргизстаном о предоставлении ей новой базы для коллективных сил ОДКБ? И, если можно, хоть какие-то подробности.",neutral
261,"По поводу климата Вы можете сказать, какие меры Россия принимает, чтобы уменьшить выбросы?",neutral
262,"Дмитрий Анатольевич, Президент Обама выступил на этом саммите с новой инициативой по ядерной безопасности. Эту инициативу поддержали лидеры «восьмёрки» и Россия в том числе, судя по всему. ",neutral
263,"И всё-таки хотелось знать, что будет со всеми договорённостями между Россией и Соединёнными Штатами в области ядерного разоружения, если Соединённые Штаты всё же не откажутся от планов размещения систем ПРО в Восточной Европе?",neutral
264,"Здравствуйте, Дмитрий Анатольевич! В развитие темы ПРО, если позволите, короткий вопрос. Сегодня была публикация в польской прессе, которая утверждает, что вопрос решён, с американской администрацией договорились, ПРО размещать не будут.",neutral
265,"Это всё не сильно официально, но тем не менее такая утечка произошла. ",negative
266,"В этой связи у меня вопрос: будете ли Вы считать это своей личной – личной, подчёркиваю, – внешнеполитической и внутриполитической победой?",neutral
267,"И, собственно, вопрос, который у меня был, – по перспективам карабахского урегулирования. ",neutral
268,"Как Вы считаете, как скоро может быть заключён мирный договор между Арменией и Азербайджаном ",positive
269,"и была ли в этой связи, поскольку тема Закавказья, была ли у Вас дискуссия с Вашим коллегой Президентом Саркози о том, то план Медведев–Саркози, собственно говоря, не сильно выполняется? ",neutral
270,"По Грузии, имею в виду, конечно.",positive
271,"Дмитрий Анатольевич, это Ваш второй саммит в качестве главы государства, саммит «большой восьмёрки». С Вашей точки зрения, что за прошедший год в рамках этого клуба изменилось, ",positive
272,"какие игроки вышли на первый план, ",positive
273,"какие у Вас с ними сложились отношения ",positive
274,"и как бы Вы оценили, в свою очередь, премьеру на саммите Барака Обамы с учётом того, что он пока не очень понятная политическая фигура на мировой арене, но при этом возглавляет одну из крупнейших экономик мира?",negative
275,"Всё-таки вопрос требует уточнения. Кто подарил монетку, то есть кем эмитирована новая мировая валюта? ",positive
276,"Собственно, какой курс, готовы ли уже поменяться?",positive
277,"Дмитрий Анатольевич, Вы закончили своё вступительное слово фразой: «Реформы должны продолжаться». ",neutral
278,"В связи с этим вопрос. Звучит очень много инициатив в последнее время о новой финансовой валютной системе в мире, и наверняка это потребует дальнейшего реформирования Международного валютного фонда, Всемирного банка и прочих системообразующих институтов. ",neutral
279,"Как, по‑вашему, эти реформы должны проходить и в какие сроки?",neutral
280,"Что касается реформы МВФ?",neutral
281,"Дмитрий Анатольевич, не могли бы Вы прокомментировать сообщение по Ирану? ",neutral
282,"Директор ЦРУ сказал, что у Ирана сейчас достаточно урана, чтобы создать оружие. ",neutral
283,"Есть ли у России такие сведения?",positive
284,"Как Вы к этому относитесь?",neutral
285,"Дмитрий Анатольевич, как Вы оцениваете итоги референдума в Киргизии?",neutral
286,"С точки зрения наркотрафика Ваша инициатива по глобальному плану, на мой взгляд, говорит о том, что ситуация катастрофична. ",neutral
287,"Наверное, Вы её так оцениваете.",neutral
288,"Тем не менее львиная доля российско-американского заявления по Афганистану была посвящена в том числе наркотрафику. ",neutral
289,"Свидетельствуют ли эти слова о том, что сделан первый, маленький реальный шаг в том, что касается Афганистана?",negative
290,"Дмитрий Анатольевич, Вам удалось как‑нибудь посмотреть футбол во время саммитов, в том числе матч Англия–Германия? ",neutral
291,"Что скажете англичанам? ",neutral
292,"За кого болеете сейчас?",neutral
293,"Довольны ли Вы результатом обсуждения Ваших инициатив в области безопасности атомной энергетики? ",positive
294,"Насколько серьёзным ",neutral
295,"и гарантирующим всё-таки безопасность будет изменение правил, ",neutral
296,"и, с другой стороны, ужесточение этих правил не снизит ли желание каких-то стран развивать у себя энергетику?",neutral
297,"В ходе переговоров с партнёрами по «восьмёрке» России поступило (и не раз поступало) предложение о том, чтобы провести посредническую миссию в Ливии. Насколько я понимаю, уже можно сказать, что Россия это предложение приняла. ",negative
298,"Скажите, пожалуйста, почему было принято такое решение, ",neutral
299,"какие для себя здесь возможности Россия видит, как оно, возможно, будет технически организовано,",positive
300,"будет ли отправлена делегация в Триполи или, наоборот, Россия примем? ",positive
301,"И, наверное, главный вопрос: считает ли Россия, что уход Каддафи – это необходимое условие для процесса мирного урегулирования?",neutral
302,"Дмитрий Анатольевич, по итогам встречи с Обамой Вы сказали о том (и, собственно, неоднократно уже подчёркивали), что с нынешним Президентом сложились очень хорошие, дружеские отношения. Вам удалось принять тяжелейший договор по СНВ, вы неплохо сотрудничаете по вопросу борьбы с терроризмом, но Вы сказали также о том, что всё-таки каждая из сторон будет блюсти и дальше свои национальные интересы. ",negative
